"id","Q1Pur","Q2Aw_1","Q2Aw_2","Q2Aw_3","Q2Aw_4","Q2Aw_5","Q2Aw_6","Q2Aw_7","Q2Aw_8","Q2Aw_9","Q2Aw_10","Q2Aw_11","Q3Pi_r1","Q3Pi_r2","Q3Pi_r3","Q3Pi_r4","Q3Pi_r5","Q3Pi_r6","Q3Pi_r7","Q3Pi_r8","Q3Pi_r9","Q3Pi_r10","Q4CredL_r1","Q4CredL_r2","Q4CredL_r3","Q4CredL_r4","Q5CredG_r1","Q5CredG_r2","Q5CredG_r3","Q5CredG_r4","Q6CredT_r1","Q6CredT_r2","Q6CredT_r3","Q6CredT_r4","Q7Belief","Q8Myst","Q9Myst","Q10Myst","Q11Myst","Q12Myst","Q13Opti_r1","Q13Opti_r2","Q13Opti_r3","Q13Opti_r4","Q13Opti_r5","Q13Opti_r6","Q13Opti_r7","Q13Opti_r8","Q13Opti_r9","Q14Demo","Q15Demo","Q16Demo","Q17Demo","Q18Demo","Q19Demo","Q20Demo","Q21Demo","Q22Demo","Q23Com"
184,1,1,0,0,1,1,0,0,0,0,0,0,6,3,5,6,6,5,5,5,5,4,5,5,3,4,3,3,4,2,6,5,6,7,1,2,"",NA,"",1,6,7,4,6,5,2,5,7,5,2,23,"Germany",1,1,1,2,1,1,""
187,3,1,0,0,1,0,0,0,0,0,0,0,5,1,1,7,1,1,1,1,1,1,6,6,6,6,4,4,4,4,7,7,7,7,1,2,"",NA,"",2,7,7,6,6,7,7,6,6,6,2,23,"Germany",1,2,2,4,1,1,""
189,2,1,0,1,0,0,0,1,0,0,0,0,4,3,5,3,3,3,3,3,3,3,4,6,4,3,6,5,4,6,4,5,4,6,2,2,"",NA,"",1,4,4,4,6,6,2,2,3,4,1,24,"China",2,1,1,4,1,1,""
191,3,1,0,0,1,1,1,0,1,0,0,0,3,1,3,3,3,4,1,3,1,1,2,3,3,2,4,4,5,4,3,3,3,3,1,1,"Hotwire",1,"Hotel booking",1,5,5,4,4,5,5,5,6,6,2,24,"Turkey",2,1,4,2,1,1,""
194,1,1,1,1,1,1,1,0,1,1,1,0,3,1,3,5,5,2,2,5,4,3,4,4,5,4,6,4,4,4,5,6,5,5,3,1,"Travel without knowing the destination.",2,"",1,4,4,6,6,4,5,4,4,4,2,25,"Germany",3,3,4,4,1,1,""
196,2,1,0,1,1,1,0,1,1,1,1,0,7,3,3,4,2,2,3,3,5,5,4,4,5,3,4,4,4,4,4,4,4,5,1,2,"",NA,"",2,5,3,2,5,5,3,3,5,3,1,23,"Germany",1,1,4,4,2,1,""
197,1,1,0,1,1,0,0,0,1,0,0,0,6,3,6,5,4,2,5,2,1,1,3,5,5,2,5,3,4,2,5,6,5,4,3,2,"",NA,"",1,4,6,5,6,5,5,5,4,4,2,37,"China",2,5,3,5,2,2,""
199,2,1,1,1,1,1,1,1,1,1,1,0,7,3,3,4,2,4,4,3,1,1,7,6,6,7,4,4,4,4,4,4,4,4,3,2,"",NA,"",1,6,5,6,6,5,4,5,6,6,1,25,"Turkey",1,1,4,4,2,1,""
200,2,1,0,1,0,0,1,0,0,1,0,0,5,2,5,2,1,5,2,1,5,2,6,6,6,6,6,6,6,6,5,5,5,5,1,2,"",NA,"",2,5,3,6,2,6,6,5,3,2,1,26,"Ukraine",1,1,2,4,1,1,""
201,2,0,0,0,0,0,0,0,0,0,0,1,7,1,2,2,5,4,1,6,3,1,7,7,6,7,3,4,2,2,4,5,4,3,1,2,"",NA,"",2,5,4,2,6,5,5,4,6,2,1,28,"France",1,1,2,4,1,2,""
202,3,1,1,1,0,1,1,0,0,0,0,0,3,5,5,1,5,2,2,1,1,1,6,6,6,4,2,4,5,5,3,5,5,3,3,2,"",NA,"",2,6,6,5,6,6,5,6,6,6,1,25,"Turkey",1,1,4,5,1,1,""
203,3,1,0,1,1,1,1,1,0,1,0,0,6,1,3,3,4,1,1,4,1,1,7,7,7,7,6,7,7,4,6,5,6,4,3,2,"",NA,"",2,5,4,5,6,5,5,5,5,4,1,25,"Turkey",1,1,4,5,1,1,""
206,1,1,1,0,1,1,1,0,0,1,1,0,6,4,4,4,5,3,4,2,2,2,4,4,6,5,4,4,4,4,5,5,5,4,3,2,"",NA,"",2,7,7,7,7,4,7,7,6,7,2,22,"Germany",2,1,4,4,2,1,""
208,1,1,0,0,1,1,0,0,1,1,1,0,2,2,2,2,2,2,2,1,4,2,4,6,7,5,6,6,5,6,6,6,6,6,1,2,"",NA,"",2,6,6,7,6,5,6,6,6,6,2,23,"Belgium",2,2,1,5,2,2,""
211,1,0,0,0,0,0,0,0,0,0,0,1,3,1,1,3,1,3,1,1,1,1,5,2,5,5,5,5,5,5,5,2,5,5,3,2,"",NA,"",1,3,4,5,5,5,4,5,6,3,1,23,"Russian Federation",1,2,1,4,1,1,""
212,1,1,0,1,1,1,1,1,1,1,1,0,6,2,4,5,5,2,4,4,2,2,6,5,6,6,5,6,6,6,7,6,7,7,3,2,"",NA,"",1,7,5,6,3,6,5,5,6,6,1,24,"Germany",3,4,1,5,1,1,""
213,3,1,0,0,1,0,0,0,1,1,1,0,5,3,3,6,3,3,3,6,5,4,6,5,6,5,6,6,6,5,7,5,7,6,1,1,"Hotel Deals, Mystery boxes",2,"",1,6,6,3,6,5,5,6,5,6,1,22,"Germany",2,2,2,4,2,1,""
214,1,1,1,1,1,1,1,1,1,1,1,0,4,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,3,2,"",NA,"",2,6,7,6,7,6,6,7,6,6,2,29,"Germany",2,1,4,4,2,1,""
218,2,1,1,1,0,1,0,1,0,1,0,0,3,5,6,2,5,3,3,1,1,1,6,7,7,2,6,6,6,4,4,6,6,4,3,2,"",NA,"",2,4,2,5,6,5,4,4,5,5,2,26,"Turkey",1,1,2,4,1,1,""
219,2,1,1,1,1,1,0,0,1,0,0,0,2,4,2,1,1,1,1,3,1,1,5,5,5,5,3,3,3,3,4,4,4,4,3,2,"",NA,"",2,4,4,5,4,4,4,5,4,4,2,30,"Germany",2,3,2,4,2,2,"The Survey is quite long"
220,3,0,0,0,1,0,0,1,0,0,0,0,3,2,3,3,6,3,2,7,3,3,5,1,4,2,4,1,4,7,2,6,6,7,3,2,"",NA,"",1,4,3,1,5,6,1,3,5,2,1,24,"Germany",1,1,4,4,1,1,""
222,2,1,1,1,1,1,1,1,1,1,1,0,5,5,2,3,1,1,1,1,1,1,6,5,5,5,4,4,4,4,5,5,5,5,3,1,"Don’t know any",2,"",2,5,6,6,7,5,6,6,6,5,1,17,"Germany",3,3,2,2,1,2,""
223,2,1,1,1,1,1,1,0,1,1,1,0,6,2,2,2,5,2,1,1,1,1,6,6,6,5,4,4,4,4,5,5,5,5,3,2,"",NA,"",1,6,5,6,6,6,4,5,6,5,1,22,"Germany",1,1,4,4,1,1,""
225,2,1,0,1,1,1,1,0,1,1,0,0,6,1,3,6,3,5,2,1,6,1,6,6,6,6,5,4,4,4,6,6,6,6,2,2,"",NA,"",1,6,4,3,6,6,6,6,6,5,2,34,"Sri Lanka",2,3,1,4,2,2,""
226,1,1,1,1,1,1,1,0,1,1,0,0,7,7,7,4,3,3,1,4,4,2,7,5,7,6,4,4,4,4,6,7,7,6,1,2,"",NA,"",2,6,6,6,7,7,6,6,6,6,2,27,"India",2,3,1,4,2,2,""
228,1,1,1,1,1,1,0,0,1,1,1,0,6,5,5,5,5,5,5,5,5,6,7,6,7,7,2,2,2,2,6,7,6,6,2,1,"Ask Helmut",2,"",1,7,7,7,7,6,6,7,7,7,2,23,"Russian Federation",2,1,2,4,1,1,""
229,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,5,3,5,4,4,4,4,4,4,5,4,4,3,2,"",NA,"",1,5,5,6,4,5,3,5,3,3,1,23,"Russian Federation",1,1,2,4,1,1,""
230,2,1,0,1,1,1,1,0,1,1,1,0,5,1,3,3,2,4,1,1,2,3,4,4,6,6,4,5,4,5,5,5,5,5,2,1,"books",2,"",1,5,5,6,6,5,4,4,4,4,1,23,"Latvia",2,1,3,4,2,2,""
231,2,1,0,0,1,1,1,1,1,1,1,0,3,2,2,3,3,3,1,3,1,1,5,4,5,5,5,4,4,5,5,4,5,5,3,1,"Themed make-up boxes",2,"",2,6,6,6,6,6,6,6,6,6,2,22,"Russian Federation",3,5,4,2,1,1,""
232,1,1,0,0,1,1,0,0,0,1,1,0,5,5,5,3,6,5,5,4,5,5,4,6,6,6,5,6,4,4,6,4,4,5,3,2,"",NA,"",2,6,6,6,6,6,4,5,7,6,2,24,"Germany",3,6,4,4,2,1,""
233,2,1,0,0,1,1,0,0,0,0,1,0,4,3,2,6,6,1,2,3,3,6,5,4,6,4,6,5,6,5,5,6,7,4,1,2,"",NA,"",2,5,5,7,6,6,5,6,2,6,2,18,"Germany",3,1,4,2,1,1,""
234,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,1,2,3,6,6,6,6,6,6,6,6,6,6,6,6,3,2,"",NA,"",2,6,4,4,4,4,7,6,6,4,1,56,"Germany",3,2,2,3,2,2,"Complicated survey"
235,2,1,0,0,0,0,0,0,0,0,0,0,6,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,3,2,2,6,2,1,"Terrible survey , please make it better noob",2,"",2,2,2,1,6,2,4,7,3,1,3,27,"Germany",3,6,5,5,4,2,"Shit survey please delete your shitty survey ass licker noob"
238,1,0,0,0,0,0,0,0,0,0,0,1,5,5,5,2,1,1,2,1,3,4,6,6,7,6,4,4,4,4,6,5,5,6,3,1,"Mystery box",2,"",2,7,6,6,6,7,5,6,6,7,2,27,"Germany",1,3,3,5,1,2,""
239,1,1,1,1,1,1,1,0,1,1,1,0,6,5,6,5,4,1,2,1,3,3,6,4,6,5,4,2,4,3,6,4,7,6,2,2,"",NA,"",2,4,1,5,3,2,4,1,3,3,2,27,"Germany",1,3,1,5,1,2,""
243,1,1,1,0,0,0,0,0,0,0,0,0,7,6,1,3,1,3,2,3,1,1,6,6,6,6,6,6,6,6,4,4,5,4,1,2,"",NA,"",2,7,6,5,5,6,5,4,6,6,2,26,"United States",1,2,1,4,1,1,""
244,2,1,0,0,0,0,0,0,0,0,0,0,7,1,1,1,1,3,3,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,2,2,"",NA,"",2,7,6,6,7,6,6,6,6,6,1,25,"Korea South",1,4,1,5,1,2,""
245,1,1,1,1,1,0,0,0,1,1,1,0,7,5,1,1,1,1,1,3,1,1,7,6,6,6,6,6,6,6,6,6,6,6,2,2,"",NA,"",2,5,5,5,2,5,5,5,5,5,1,24,"Netherlands",1,1,2,5,1,1,""
246,2,1,0,0,1,1,1,0,0,0,0,0,7,1,4,6,3,6,1,1,1,1,6,4,6,4,4,4,2,4,6,4,6,4,1,2,"",NA,"",2,4,3,3,3,3,5,5,3,2,2,24,"Netherlands",3,3,1,2,1,2,""
247,2,1,1,1,1,1,1,1,1,1,0,0,4,1,2,2,3,2,4,2,2,1,4,4,5,4,4,5,5,4,4,4,4,4,3,1,"Buy an amount of groceries and get a mystery household product",1,"Spend 15 korean won for a box with a bracelet with random color and pattern. Proceeds are partly going to charity",1,3,2,6,2,5,3,3,4,3,2,24,"Vietnam",3,6,1,4,1,2,"Merry Xmas !"
248,2,1,0,1,1,1,1,0,1,1,0,0,4,1,3,3,2,4,1,2,4,1,4,6,6,4,4,6,6,4,6,6,6,4,3,1,"lucky bag on beautylish.com",2,"",1,6,5,6,6,4,4,5,5,5,1,23,"China",3,2,4,4,1,1,""
249,2,1,0,0,1,0,0,1,0,0,0,0,7,4,5,6,5,5,7,6,5,5,6,6,6,6,6,6,6,5,6,6,6,6,3,1,"Boxycharm",1,"Makeup",1,6,5,6,6,6,5,5,5,4,1,26,"Canada",1,4,1,4,1,2,""
251,2,1,0,1,0,0,1,0,0,0,0,0,4,3,3,4,4,4,2,3,2,2,5,4,6,5,6,5,5,5,7,7,5,6,1,2,"",NA,"",2,5,3,3,4,3,3,3,5,5,1,24,"China",1,1,4,5,1,1,"Code109"
252,2,1,0,1,1,1,1,0,1,1,0,0,4,6,5,4,4,4,4,5,5,3,6,6,7,6,7,6,7,6,5,7,6,5,3,1,"Mystery package， you do not even know a size",2,"",2,6,6,6,6,7,6,6,6,7,2,27,"China",3,2,1,5,1,1,""
255,1,1,0,1,1,1,1,1,0,1,1,0,4,2,4,4,4,4,5,2,5,5,4,6,6,4,4,4,4,4,6,6,6,6,2,1,"Some make-up sets Consumers pay for a certain price and receive a box of various products, but they don't know what are exactly inside.",2,"",1,6,6,4,5,6,4,5,6,6,1,26,"China",1,1,4,4,1,1,""
257,1,1,0,1,0,0,1,1,0,1,0,0,5,5,4,5,3,3,5,3,4,4,5,5,3,1,4,4,2,1,4,4,2,1,2,1,"Popmart",2,"",1,1,5,7,6,3,6,7,5,5,2,32,"China",2,5,1,5,2,2,"The series of questions of choosing jeans 1of 3 are tedious."
259,1,1,0,1,1,1,1,0,0,0,0,0,2,2,2,4,3,2,2,2,2,2,5,5,5,4,3,4,4,4,5,5,6,4,2,2,"",NA,"",1,4,5,6,6,6,5,5,6,6,1,31,"China",3,4,1,5,2,2,""
261,1,1,0,1,1,1,1,0,1,1,1,0,6,2,6,4,5,5,2,5,5,6,6,6,7,6,6,6,5,5,7,6,6,6,3,2,"",NA,"",2,7,7,7,7,6,6,5,7,7,1,23,"China",3,3,2,5,1,1,""
262,3,0,0,0,1,1,0,0,0,0,1,0,3,1,1,5,5,1,1,1,2,4,6,5,5,5,3,4,3,4,6,6,6,6,1,2,"",NA,"",2,6,6,7,7,6,3,4,7,6,2,21,"Germany",1,1,1,2,1,2,""
264,3,0,0,0,0,0,0,0,0,0,0,1,3,1,5,6,3,5,2,1,5,6,5,5,6,4,4,4,2,5,6,5,5,6,1,2,"",NA,"",1,5,7,7,5,7,6,6,6,6,1,25,"Iran",2,1,4,4,1,1,""
265,1,1,0,0,1,1,1,0,1,1,1,0,3,5,5,5,5,5,5,5,3,3,5,4,6,6,4,4,4,5,6,4,6,4,1,2,"",NA,"",1,7,6,7,4,5,4,5,4,5,1,25,"Russian Federation",2,2,4,4,2,1,""
266,1,1,0,1,1,1,0,0,1,0,1,0,7,1,6,7,5,1,1,3,2,4,7,7,7,7,5,4,6,5,7,7,7,7,2,2,"",NA,"",2,6,7,7,7,7,7,6,6,6,1,22,"Belgium",1,1,4,4,1,1,""
267,2,1,0,0,0,0,0,0,0,0,0,0,7,2,2,3,2,3,2,3,2,2,7,7,7,4,5,6,4,4,4,4,4,4,3,2,"",NA,"",2,5,5,5,5,5,5,6,4,5,1,22,"China",3,3,2,4,1,1,""
268,2,1,0,0,1,1,0,0,0,1,0,0,7,2,2,7,6,2,2,2,2,2,6,6,7,6,6,5,5,4,6,6,7,6,3,2,"",NA,"",2,6,7,5,6,6,6,7,6,5,1,23,"Belgium",3,3,1,5,1,2,""
269,2,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,3,5,5,6,6,4,4,4,4,4,4,5,4,3,2,"",NA,"",2,6,6,7,6,5,5,7,5,6,1,22,"Germany",2,1,4,2,2,1,""
272,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,5,6,5,1,1,1,6,4,7,5,4,4,6,4,7,7,7,7,1,2,"",NA,"",2,6,6,7,7,6,6,6,6,5,1,25,"Egypt",3,1,4,4,1,1,""
274,1,1,1,1,1,1,1,1,1,1,1,0,4,2,2,2,2,2,1,2,2,2,6,5,7,4,4,4,5,4,5,5,6,4,2,2,"",NA,"",1,5,4,5,3,5,5,4,5,4,2,27,"Germany",1,1,2,4,2,1,""
275,2,1,0,0,1,0,0,1,0,1,0,0,7,1,1,4,5,1,3,1,1,1,7,6,7,4,5,4,6,4,5,5,5,6,3,2,"",NA,"",1,4,2,4,3,5,7,3,5,3,2,29,"Germany",1,3,1,5,1,2,""
276,2,1,0,1,1,0,1,0,1,1,0,0,2,1,1,1,1,1,1,1,1,1,6,4,6,3,6,4,6,5,6,5,6,6,1,1,"Mystery dinners Mystery vacation trips",2,"",1,6,7,6,7,6,6,6,5,6,1,24,"Portugal",1,2,1,5,1,2,""
278,1,1,0,1,1,1,0,1,1,1,1,0,6,1,5,2,4,1,1,3,2,4,7,6,6,6,5,4,4,5,5,6,5,6,1,2,"",NA,"",2,6,6,6,6,6,6,6,6,6,2,27,"Germany",3,1,1,4,1,1,""
279,2,1,1,1,1,1,1,0,0,0,0,0,7,5,4,5,3,1,2,1,1,1,7,7,7,7,4,4,4,4,6,7,7,6,2,1,"Loot boxes for videos games, monthly subscription boxes",2,"",1,7,6,6,7,6,6,5,7,7,2,28,"United Kingdom",1,4,1,4,1,2,""
280,1,1,1,0,1,1,0,0,0,1,1,0,4,4,1,1,1,1,1,1,4,5,4,5,4,2,4,4,4,4,4,5,4,5,3,2,"",NA,"",2,5,4,3,5,3,3,5,5,3,1,63,"Germany",3,3,1,2,2,2,""
281,1,1,0,0,1,0,0,0,0,0,0,0,5,2,4,3,5,2,5,2,2,1,5,5,5,5,6,6,5,5,5,6,6,5,3,2,"",NA,"",2,6,6,5,4,6,5,5,6,6,2,29,"Malaysia",1,4,1,5,1,2,""
283,1,0,0,0,1,1,0,0,0,0,1,0,5,2,2,6,6,5,2,5,5,7,3,3,3,2,6,6,6,6,5,4,4,5,1,2,"",NA,"",1,5,6,6,6,6,7,6,5,6,2,21,"Germany",3,1,2,2,2,1,""
284,3,1,0,0,1,0,1,0,0,0,0,0,2,1,1,2,1,2,1,2,1,1,4,4,6,6,4,4,4,4,6,6,6,6,2,1,"Mystery deal box",2,"",2,5,7,7,4,6,6,6,6,5,1,20,"Azerbaijan",3,3,2,2,1,1,""
285,1,1,1,1,1,1,1,1,1,1,1,0,6,4,4,5,1,3,2,1,3,1,5,5,5,5,2,2,2,2,5,5,5,5,2,2,"",NA,"",2,3,6,4,6,6,6,6,6,6,2,27,"Germany",1,1,2,4,1,1,"Yo I'd never buy jeans I haven't tried on this excludes online shopping and definetly opaque shopping"
286,2,1,0,0,1,1,0,0,0,1,1,0,7,2,2,6,6,2,2,2,6,4,6,7,7,6,5,5,5,5,5,5,5,5,3,2,"",NA,"",1,5,6,4,6,6,4,5,5,6,2,23,"Belgium",3,6,1,4,1,2,""
294,1,1,0,0,1,1,0,0,0,1,0,0,5,2,2,5,4,3,2,3,5,4,4,6,5,6,5,5,4,6,5,5,4,5,3,2,"",NA,"",1,6,6,6,6,6,6,6,6,6,2,23,"Belgium",3,3,1,2,2,2,""
295,1,1,1,0,0,0,0,0,0,0,0,0,7,5,1,3,2,1,1,2,1,1,7,7,7,6,3,3,3,3,5,5,5,5,3,2,"",NA,"",2,7,6,7,7,6,7,6,7,7,2,33,"Canada",2,6,1,3,2,2,""
296,2,1,0,0,0,1,0,0,0,1,1,0,6,2,2,2,2,2,2,2,5,6,5,4,7,6,4,4,4,4,4,5,5,5,3,2,"",NA,"",2,5,5,5,6,4,5,6,5,5,2,19,"Germany",3,1,1,2,1,2,""
299,1,1,0,0,0,1,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,3,1,"Box of chocolate as a present for someone",1,"None",2,6,6,2,6,4,2,6,6,6,2,23,"Belgium",3,2,4,5,1,1,""
300,3,1,0,0,1,1,1,1,1,1,1,0,7,2,2,6,5,6,3,6,5,5,6,7,7,7,6,4,6,4,6,7,7,5,3,2,"",NA,"",2,6,6,6,6,5,5,6,7,6,1,23,"Germany",1,1,2,4,1,1,""
302,1,1,0,0,0,1,0,0,0,0,1,0,5,3,4,2,4,5,3,3,3,4,5,4,5,4,4,4,4,4,3,5,5,4,2,2,"",NA,"",2,4,5,6,6,7,6,5,4,4,2,23,"Belgium",2,1,4,2,2,1,""
303,2,1,0,0,0,0,0,0,0,0,0,0,7,3,5,5,5,3,4,2,3,4,7,7,7,5,4,4,6,5,5,6,5,6,3,2,"",NA,"",2,7,6,5,6,6,5,6,7,4,2,22,"Belgium",3,4,4,2,1,1,""
305,1,1,1,0,1,1,0,0,1,1,1,0,4,3,1,4,4,2,1,1,2,2,6,6,6,6,5,4,4,2,6,6,7,7,2,1,"Mystery Boxes on Amazon",2,"",1,6,2,3,5,5,5,5,5,3,2,23,"Germany",2,2,2,2,2,1,""
306,1,1,1,0,1,1,1,0,1,1,1,0,5,3,2,5,5,4,2,2,6,5,6,6,6,6,4,4,4,4,6,5,6,5,1,1,"Loot Crate",1,"Humble Monthly",1,6,5,6,6,6,6,6,6,5,2,23,"Germany",2,2,2,4,1,1,""
307,2,1,0,0,0,0,0,0,0,0,0,0,7,3,3,3,3,3,3,3,3,3,6,6,6,6,4,4,4,4,4,4,4,4,3,2,"",NA,"",2,5,6,6,6,6,5,6,6,6,1,42,"China",3,3,1,5,2,2,""
309,1,1,1,1,0,0,0,1,0,0,0,0,7,7,2,2,3,1,7,6,1,2,7,6,7,7,5,5,3,2,4,5,6,5,1,2,"",NA,"",2,4,3,7,6,6,6,5,5,6,1,22,"Canada",3,6,1,4,1,2,""
310,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4,4,6,4,4,4,6,4,4,4,6,4,3,1,"in cosmetics",2,"",1,7,6,5,6,5,6,5,6,6,1,29,"Slovakia",2,2,1,4,2,1,"208"
312,1,1,1,0,1,1,1,1,1,0,0,0,5,1,1,2,5,2,2,3,1,1,6,6,6,6,6,6,6,6,4,4,4,4,1,2,"",NA,"",1,6,6,6,7,5,5,6,6,6,2,29,"Canada",1,3,1,4,1,2,""
314,1,1,1,1,0,1,1,0,1,1,0,0,3,1,3,1,5,1,1,1,5,1,6,6,6,5,5,6,6,4,5,5,5,5,3,2,"",NA,"",1,5,5,5,2,5,5,5,5,5,2,32,"China",2,6,1,5,2,2,""
317,1,0,0,1,0,1,0,0,0,1,0,0,3,1,3,2,2,3,2,2,5,6,5,3,5,5,4,3,3,3,6,6,6,6,1,2,"",NA,"",2,2,6,6,6,6,6,2,5,5,1,23,"Germany",3,1,2,3,2,2,""
319,2,1,0,0,1,1,0,0,0,1,1,0,6,4,3,6,3,3,3,3,3,5,7,6,7,7,6,6,6,7,7,7,7,7,3,2,"",NA,"",2,7,6,4,7,7,6,6,7,7,1,22,"Germany",3,1,1,3,1,2,""
320,1,1,1,0,1,0,0,1,1,0,0,0,3,1,1,1,1,1,7,1,1,1,4,6,6,6,4,4,4,4,5,6,5,4,3,2,"",NA,"",2,7,6,7,7,7,6,7,7,6,2,20,"Canada",3,2,2,2,1,1,""
325,1,0,0,0,0,0,0,0,0,0,0,1,4,2,2,6,3,2,2,2,6,4,6,6,6,5,4,5,4,4,6,6,6,6,2,1,"Monthly set of clothing sent to customers’ homes. Idk the name",2,"",2,6,6,6,6,6,6,6,6,6,2,27,"Slovenia",2,2,3,4,1,1,""
326,2,1,1,1,0,1,1,0,0,0,0,0,5,4,3,4,2,5,3,2,5,4,5,5,6,4,4,5,4,5,4,5,5,4,3,2,"",NA,"",1,3,3,5,4,3,3,4,3,3,1,22,"Czech Republic",1,1,4,2,1,1,""
328,1,1,1,0,0,0,0,0,0,0,0,0,7,7,3,4,4,2,2,2,4,5,6,6,7,7,4,4,4,5,5,5,5,5,3,2,"",NA,"",2,4,7,5,6,6,7,5,6,4,2,25,"India",3,2,4,4,1,1,""
331,2,1,1,0,1,0,1,1,1,0,0,0,6,6,3,6,3,6,6,6,2,2,6,6,6,7,5,6,6,5,7,6,5,6,1,2,"",NA,"",1,7,7,7,7,7,7,7,7,7,1,19,"Spain",3,3,2,2,1,1,""
333,2,1,0,0,0,0,1,0,0,1,0,0,7,4,4,4,4,6,4,4,6,4,7,7,7,7,5,5,5,5,5,5,6,6,3,2,"",NA,"",2,6,6,6,7,5,6,6,5,5,1,23,"India",3,2,4,4,1,1,""
334,2,1,1,1,0,0,0,0,0,0,0,0,7,7,7,5,5,5,5,5,5,5,7,7,7,7,6,6,6,6,6,5,5,6,3,2,"",NA,"",1,6,6,6,6,5,6,6,6,6,2,22,"India",3,1,4,4,1,1,""
335,2,1,0,0,1,0,0,0,0,0,0,0,6,2,2,5,1,2,2,2,1,2,6,6,6,6,4,4,4,4,5,4,5,5,3,1,"Play cards, refurbished technology",1,"Refurbished technology",1,5,3,4,6,5,6,6,6,2,2,27,"Germany",1,2,1,3,1,1,""
336,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,2,5,5,6,6,4,4,4,4,4,4,2,1,2,2,"",NA,"",1,5,5,6,6,5,5,6,6,6,1,62,"United Kingdom",2,5,2,5,1,2,""
338,1,1,0,1,1,1,1,0,1,1,0,0,5,1,3,3,4,4,1,3,3,1,6,6,6,5,4,6,6,3,5,6,6,5,3,2,"",NA,"",1,5,6,5,6,5,6,6,5,5,2,33,"China",1,4,1,4,1,2,""
339,1,0,0,0,0,0,0,1,0,0,0,0,6,1,2,3,1,2,5,1,1,1,6,6,6,6,5,5,5,5,5,5,5,5,3,2,"",NA,"",1,6,6,6,5,6,5,5,6,5,1,21,"China",1,1,4,4,1,1,""
341,1,1,0,1,0,0,0,0,0,0,0,0,5,3,5,1,1,1,1,1,3,1,5,5,5,4,4,4,4,4,3,3,3,3,3,2,"",NA,"",2,6,7,6,6,6,5,6,6,6,1,28,"Germany",2,2,2,5,2,2,""
342,1,1,1,1,1,1,1,0,1,1,1,0,4,1,1,3,3,1,1,2,1,1,5,4,5,5,4,4,5,5,4,4,5,5,3,2,"",NA,"",2,3,5,4,6,6,5,4,7,3,1,55,"United Kingdom",2,6,1,5,2,2,""
343,1,0,0,0,0,0,0,0,0,0,0,1,2,1,2,4,1,3,1,3,1,1,4,4,4,5,5,5,5,5,6,6,6,6,1,2,"",NA,"",2,5,5,5,5,5,4,4,4,5,1,27,"Taiwan",2,1,4,3,2,1,""
344,1,1,1,1,1,1,1,1,1,1,0,0,5,4,4,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,6,6,3,2,"",NA,"",2,4,4,5,6,3,5,5,5,4,1,19,"United Kingdom",3,1,4,2,1,1,""
345,4,1,0,0,0,0,0,0,0,0,0,0,3,2,1,4,2,1,1,2,1,1,6,6,7,6,5,5,3,4,6,6,7,5,3,2,"",NA,"",2,7,7,7,6,7,7,7,7,7,1,26,"China",1,1,4,5,1,1,""
346,2,0,0,0,0,0,0,0,0,0,0,1,3,1,4,2,3,3,1,1,2,2,6,6,6,6,4,5,4,4,5,5,5,5,3,2,"",NA,"",1,6,7,6,6,6,5,6,6,7,1,25,"China",1,3,1,5,1,2,""
347,2,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,2,1,2,2,1,1,4,2,2,2,2,4,3,3,3,1,3,4,3,2,"",NA,"",2,4,2,3,6,4,2,3,2,1,3,25,"Germany",1,1,4,4,1,1,""
348,4,1,1,1,1,1,1,1,1,1,1,0,7,2,2,3,2,3,2,2,5,5,6,4,6,4,5,5,5,4,6,4,6,5,3,1,"Qoqa sometimes does it",2,"",2,5,6,6,7,6,5,6,6,5,1,28,"Switzerland",2,5,1,4,2,2,""
349,2,0,0,0,0,0,0,0,0,0,0,1,6,3,5,5,2,3,3,3,4,6,5,5,7,6,4,5,5,5,6,6,6,6,3,2,"",NA,"",2,4,5,5,6,5,5,5,6,5,2,26,"Switzerland",1,1,4,4,1,1,""
350,2,1,0,1,1,1,1,0,1,1,1,0,5,1,5,2,3,4,1,2,3,3,5,5,6,4,4,4,5,5,4,5,5,5,2,2,"",NA,"",1,4,4,5,5,5,6,4,5,5,1,20,"Italy",3,4,4,2,1,1,""
